Farmer_ID,Village_ID,District,State,Group,FPO_Member,WDC_Intervention_Area,Age_of_Farmer,Land_Size_Hectares,Farm_Size_Acres,Primary_Crop,Has_Tractor,Access_to_Credit,Distance_to_Market_KM,Off_Farm_Income,Soil_Health_Score,Rainfall_Annual_mm,Avg_Temp_Celsius,Time_Period,Irrigation_Source_Before,Irrigation_Source_After,Training_Received,Crop_Diversification,Fertilizer_Used_Kg_per_Hectare,Pesticide_Used_Liters_per_Hectare,Yield_Kg_Per_Hectare,Cost_of_Cultivation,Income_Annual,Latitude,Longitude
FARM0009,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,48,2.66,6.57,Soybean,NO,YES,13.0,36900,7.6,835,24.5,Before,Rainfed,Rainfed,NO,NO,102.78,5.62,11253.47,30790.46,145452.29,28.7166767,77.890433
FARM0010,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,54,2.35,5.81,Soybean,YES,YES,11.4,0,6.2,815,24.8,After,Rainfed,Well,YES,NO,100.26,5.44,11830.47,22252.55,166351.66,28.7166767,77.890433
FARM0010,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,54,2.35,5.81,Soybean,YES,YES,11.4,0,6.2,815,24.8,Before,Rainfed,Rainfed,NO,NO,104.52,5.54,8970.06,23243.98,127805.33,28.7166767,77.890433
FARM0011,HAP02,Hapur,Uttar Pradesh,Treatment,YES,YES,55,3.92,9.69,Sugarcane,YES,NO,12.2,0,7.5,769,24.1,After,Well,Well,YES,NO,93.42,6.01,21768.99,37605.48,307438.47,28.7166767,77.890433
FARM0011,HAP02,Hapur,Uttar Pradesh,Treatment,YES,YES,55,3.92,9.69,Sugarcane,YES,NO,12.2,0,7.5,769,24.1,Before,Well,Well,NO,NO,97.09,6.48,18707.81,39005.18,251773.69,28.7166767,77.890433
FARM0012,NAG05,Nagpur,Maharashtra,Treatment,YES,YES,35,1.6,3.95,Maize,YES,NO,6.0,67200,7.0,1211,26.8,After,Canal,Canal,YES,NO,98.07,5.74,7894.72,15288.92,110690.19,21.1498134,79.0820556
FARM0012,NAG05,Nagpur,Maharashtra,Treatment,YES,YES,35,1.6,3.95,Maize,YES,NO,6.0,67200,7.0,1211,26.8,Before,Canal,Canal,NO,NO,101.56,5.98,6763.48,16709.71,94905.14,21.1498134,79.0820556
FARM0013,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,45,0.78,1.93,Rice,NO,NO,12.5,49300,4.0,854,25.1,After,Rainfed,Well,YES,NO,120.39,5.5,3551.49,7457.56,49250.65,28.7166767,77.890433
FARM0013,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,45,0.78,1.93,Rice,NO,NO,12.5,49300,4.0,854,25.1,Before,Rainfed,Rainfed,NO,NO,126.66,5.62,2745.78,8173.76,33763.92,28.7166767,77.890433
FARM0014,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,57,1.55,3.83,Maize,YES,YES,25.2,47500,5.3,800,24.6,After,Canal,Canal,YES,NO,105.2,4.39,7454.06,13967.3,105146.41,28.7733808,77.5033582
FARM0014,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,57,1.55,3.83,Maize,YES,YES,25.2,47500,5.3,800,24.6,Before,Canal,Canal,NO,NO,109.14,4.41,6931.65,14425.05,97181.08,28.7733808,77.5033582
FARM0015,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,42,1.64,4.05,Soybean,NO,YES,11.3,29300,4.3,789,24.4,After,Rainfed,Well,YES,NO,116.09,5.27,7695.68,16980.21,107308.56,28.7166767,77.890433
FARM0015,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,42,1.64,4.05,Soybean,NO,YES,11.3,29300,4.3,789,24.4,Before,Rainfed,Rainfed,NO,NO,116.15,5.5,6174.1,18093.39,75588.7,28.7166767,77.890433
FARM0016,NAG01,Nagpur,Maharashtra,Treatment,YES,YES,51,3.51,8.67,Cotton,YES,NO,11.7,30700,7.6,1240,26.7,After,Rainfed,Rainfed,YES,NO,109.5,6.87,16329.61,32230.37,225197.57,21.1498134,79.0820556
FARM0016,NAG01,Nagpur,Maharashtra,Treatment,YES,YES,51,3.51,8.67,Cotton,YES,NO,11.7,30700,7.6,1240,26.7,Before,Rainfed,Rainfed,NO,NO,104.74,7.4,14139.25,35342.89,173672.49,21.1498134,79.0820556
FARM0017,MYS01,Mysuru,Karnataka,Treatment,YES,YES,44,3.21,7.93,Sugarcane,NO,YES,8.7,40300,4.7,838,25.0,After,Rainfed,Rainfed,YES,YES,116.66,6.42,13642.57,33881.94,214877.83,12.3041464,76.6529521
FARM0017,MYS01,Mysuru,Karnataka,Treatment,YES,YES,44,3.21,7.93,Sugarcane,NO,YES,8.7,40300,4.7,838,25.0,Before,Rainfed,Rainfed,NO,NO,111.32,6.79,11946.94,36532.75,160880.48,12.3041464,76.6529521
FARM0018,DHA03,Dharwad,Karnataka,Treatment,YES,YES,29,1.43,3.53,Pulses,NO,YES,5.3,0,5.8,855,24.0,After,Rainfed,Well,YES,YES,91.18,4.53,7274.1,15821.12,118754.52,15.3707296,75.1332867
FARM0018,DHA03,Dharwad,Karnataka,Treatment,YES,YES,29,1.43,3.53,Pulses,NO,YES,5.3,0,5.8,855,24.0,Before,Rainfed,Rainfed,NO,NO,95.66,4.84,5477.0,16581.5,76487.61,15.3707296,75.1332867
FARM0019,MUR05,Muradnagar,Uttar Pradesh,Treatment,YES,YES,34,0.95,2.35,Wheat,NO,YES,10.7,75600,4.6,828,24.5,After,Rainfed,Canal,YES,NO,126.86,3.82,4740.94,10312.47,66890.23,28.7733808,77.5033582
FARM0019,MUR05,Muradnagar,Uttar Pradesh,Treatment,YES,YES,34,0.95,2.35,Wheat,NO,YES,10.7,75600,4.6,828,24.5,Before,Rainfed,Rainfed,NO,NO,121.48,4.15,3821.97,11133.06,42758.36,28.7733808,77.5033582
FARM0020,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,54,0.78,1.93,Pulses,NO,NO,11.6,0,4.2,814,24.4,After,Well,Well,YES,NO,122.81,3.7,3768.85,8930.33,53175.19,28.7733808,77.5033582
FARM0020,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,54,0.78,1.93,Pulses,NO,NO,11.6,0,4.2,814,24.4,Before,Well,Well,NO,NO,128.62,4.01,3334.71,9167.54,46386.01,28.7733808,77.5033582
FARM0021,PUN03,Pune,Maharashtra,Treatment,YES,YES,50,2.49,6.15,Wheat,NO,YES,17.2,26800,6.3,708,24.8,After,Rainfed,Canal,YES,NO,97.16,5.57,12764.41,26882.6,179696.51,18.5213738,73.8545071
FARM0021,PUN03,Pune,Maharashtra,Treatment,YES,YES,50,2.49,6.15,Wheat,NO,YES,17.2,26800,6.3,708,24.8,Before,Rainfed,Rainfed,NO,NO,92.85,5.95,9457.68,28439.39,137992.62,18.5213738,73.8545071
FARM0022,DHA05,Dharwad,Karnataka,Treatment,YES,YES,42,1.64,4.05,Pulses,NO,NO,5.9,75200,5.2,929,24.1,After,Canal,Canal,YES,YES,107.03,5.52,8041.15,16682.17,129465.55,15.3707296,75.1332867
FARM0022,DHA05,Dharwad,Karnataka,Treatment,YES,YES,42,1.64,4.05,Pulses,NO,NO,5.9,75200,5.2,929,24.1,Before,Canal,Canal,NO,NO,106.18,5.57,7266.4,17644.06,98464.6,15.3707296,75.1332867
FARM0023,HAP03,Hapur,Uttar Pradesh,Treatment,YES,YES,50,2.43,6.0,Rice,NO,NO,15.0,62300,6.4,826,25.1,After,Canal,Canal,YES,YES,93.74,3.96,12090.56,25960.58,197795.38,28.7166767,77.890433
FARM0023,HAP03,Hapur,Uttar Pradesh,Treatment,YES,YES,50,2.43,6.0,Rice,NO,NO,15.0,62300,6.4,826,25.1,Before,Canal,Canal,NO,NO,91.39,4.2,10758.72,28489.34,150059.89,28.7166767,77.890433
FARM0024,DHA04,Dharwad,Karnataka,Treatment,YES,YES,63,1.72,4.25,Cotton,NO,YES,19.7,31000,6.8,914,24.3,After,Canal,Canal,YES,NO,102.38,7.39,8710.33,18815.9,120780.93,15.3707296,75.1332867
FARM0024,DHA04,Dharwad,Karnataka,Treatment,YES,YES,63,1.72,4.25,Cotton,NO,YES,19.7,31000,6.8,914,24.3,Before,Canal,Canal,NO,NO,101.49,7.67,8153.08,20688.22,108030.86,15.3707296,75.1332867
FARM0025,MYS02,Mysuru,Karnataka,Treatment,YES,YES,55,1.94,4.79,Pulses,NO,NO,16.2,57800,4.6,897,24.9,After,Canal,Canal,YES,NO,126.35,5.09,9162.8,20906.55,127599.88,12.3041464,76.6529521
FARM0025,MYS02,Mysuru,Karnataka,Treatment,YES,YES,55,1.94,4.79,Pulses,NO,NO,16.2,57800,4.6,897,24.9,Before,Canal,Canal,NO,NO,122.74,5.43,7900.63,21513.66,108742.54,12.3041464,76.6529521
FARM0026,MYS03,Mysuru,Karnataka,Treatment,YES,YES,28,1.5,3.71,Wheat,NO,NO,18.0,55400,7.6,817,24.7,After,Canal,Canal,YES,NO,106.61,4.99,7871.06,14539.93,111126.34,12.3041464,76.6529521
FARM0026,MYS03,Mysuru,Karnataka,Treatment,YES,YES,28,1.5,3.71,Wheat,NO,NO,18.0,55400,7.6,817,24.7,Before,Canal,Canal,NO,NO,108.19,5.38,7021.63,15233.75,94213.84,12.3041464,76.6529521
FARM0027,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,54,1.67,4.13,Gram,NO,YES,20.3,49400,7.5,850,24.2,After,Well,Well,YES,NO,101.23,4.74,8739.0,17196.86,123747.92,29.0018557,77.7679671
FARM0027,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,54,1.67,4.13,Gram,NO,YES,20.3,49400,7.5,850,24.2,Before,Well,Well,NO,NO,99.58,5.06,7490.54,18333.86,114801.69,29.0018557,77.7679671
FARM0028,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,44,4.09,10.11,Cotton,NO,NO,4.0,79000,6.7,803,24.3,After,Rainfed,Canal,YES,NO,96.26,5.87,20775.4,43910.51,291745.5,28.7733808,77.5033582
FARM0028,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,44,4.09,10.11,Cotton,NO,NO,4.0,79000,6.7,803,24.3,Before,Rainfed,Rainfed,NO,NO,95.75,6.01,16676.37,47114.07,236356.83,28.7733808,77.5033582
FARM0029,PUN03,Pune,Maharashtra,Treatment,YES,YES,61,2.92,7.22,Pulses,YES,YES,17.7,62500,6.1,764,24.8,After,Well,Well,YES,NO,95.05,5.72,14595.23,27281.62,205027.59,18.5213738,73.8545071
FARM0029,PUN03,Pune,Maharashtra,Treatment,YES,YES,61,2.92,7.22,Pulses,YES,YES,17.7,62500,6.1,764,24.8,Before,Well,Well,NO,NO,93.3,5.95,13046.8,29182.6,184243.57,18.5213738,73.8545071
FARM0030,DHA04,Dharwad,Karnataka,Treatment,YES,YES,28,1.14,2.82,Rice,NO,YES,6.7,0,4.3,908,24.5,After,Well,Well,YES,NO,116.68,4.46,5335.51,10671.9,74830.11,15.3707296,75.1332867
FARM0030,DHA04,Dharwad,Karnataka,Treatment,YES,YES,28,1.14,2.82,Rice,NO,YES,6.7,0,4.3,908,24.5,Before,Well,Well,NO,NO,119.48,4.61,4686.34,11807.99,63031.16,15.3707296,75.1332867
FARM0031,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,28,2.04,5.04,Gram,NO,YES,17.7,54900,4.3,800,24.4,After,Canal,Canal,YES,YES,131.5,3.69,9548.36,21139.25,154207.38,28.7733808,77.5033582
FARM0031,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,28,2.04,5.04,Gram,NO,YES,17.7,54900,4.3,800,24.4,Before,Canal,Canal,NO,NO,126.67,4.01,8482.97,22436.65,118588.97,28.7733808,77.5033582
FARM0032,MYS05,Mysuru,Karnataka,Treatment,YES,YES,45,1.5,3.71,Gram,NO,YES,10.7,36300,6.1,827,25.0,After,Canal,Canal,YES,YES,94.67,5.32,7787.19,18657.82,126472.13,12.3041464,76.6529521
FARM0032,MYS05,Mysuru,Karnataka,Treatment,YES,YES,45,1.5,3.71,Gram,NO,YES,10.7,36300,6.1,827,25.0,Before,Canal,Canal,NO,NO,96.45,5.48,6700.01,19451.42,91012.59,12.3041464,76.6529521
FARM0033,DHA04,Dharwad,Karnataka,Treatment,YES,YES,43,0.91,2.25,Rice,NO,NO,16.4,0,4.4,871,24.7,After,Well,Well,YES,YES,115.12,5.25,4441.56,9548.3,71457.89,15.3707296,75.1332867
FARM0033,DHA04,Dharwad,Karnataka,Treatment,YES,YES,43,0.91,2.25,Rice,NO,NO,16.4,0,4.4,871,24.7,Before,Well,Well,NO,NO,115.76,5.27,3774.92,10503.48,50848.58,15.3707296,75.1332867
FARM0034,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,52,2.47,6.1,Cotton,NO,NO,9.9,48000,5.8,783,24.7,After,Canal,Canal,YES,YES,107.28,7.0,12864.02,25567.03,205873.53,28.7733808,77.5033582
FARM0034,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,52,2.47,6.1,Cotton,NO,NO,9.9,48000,5.8,783,24.7,Before,Canal,Canal,NO,NO,106.78,7.1,10801.85,27164.58,155795.49,28.7733808,77.5033582
FARM0035,DHA02,Dharwad,Karnataka,Treatment,YES,YES,28,2.07,5.12,Wheat,NO,NO,8.4,69100,4.7,944,24.0,After,Rainfed,Rainfed,YES,NO,122.64,3.7,8902.47,23285.76,124633.81,15.3707296,75.1332867
FARM0035,DHA02,Dharwad,Karnataka,Treatment,YES,YES,28,2.07,5.12,Wheat,NO,NO,8.4,69100,4.7,944,24.0,Before,Rainfed,Rainfed,NO,NO,121.03,4.08,7715.19,24682.03,101454.59,15.3707296,75.1332867
FARM0036,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,61,3.57,8.82,Gram,YES,NO,10.4,34200,3.9,777,24.5,After,Well,Well,YES,YES,126.05,4.57,16250.26,34374.17,260593.4,28.7733808,77.5033582
FARM0036,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,61,3.57,8.82,Gram,YES,NO,10.4,34200,3.9,777,24.5,Before,Well,Well,NO,NO,125.49,4.75,15108.81,35522.02,207899.75,28.7733808,77.5033582
FARM0037,MUR03,Muradnagar,Uttar Pradesh,Treatment,YES,YES,47,1.31,3.24,Gram,NO,YES,16.6,61100,8.2,772,24.7,After,Well,Well,YES,NO,99.55,5.4,7170.63,15640.41,101412.27,28.7733808,77.5033582
FARM0037,MUR03,Muradnagar,Uttar Pradesh,Treatment,YES,YES,47,1.31,3.24,Gram,NO,YES,16.6,61100,8.2,772,24.7,Before,Well,Well,NO,NO,100.59,5.72,6331.37,16466.53,80043.47,28.7733808,77.5033582
FARM0038,HAP05,Hapur,Uttar Pradesh,Treatment,YES,YES,29,1.53,3.78,Sugarcane,NO,YES,9.1,33400,4.6,835,24.2,After,Well,Well,YES,NO,116.51,7.22,7229.28,16106.08,99346.76,28.7166767,77.890433
FARM0038,HAP05,Hapur,Uttar Pradesh,Treatment,YES,YES,29,1.53,3.78,Sugarcane,NO,YES,9.1,33400,4.6,835,24.2,Before,Well,Well,NO,NO,111.56,7.27,6824.78,17845.18,93700.45,28.7166767,77.890433
FARM0039,MEE03,Meerut,Uttar Pradesh,Treatment,YES,YES,52,1.52,3.76,Gram,YES,NO,16.9,49100,7.9,819,24.6,After,Canal,Canal,YES,NO,99.06,4.43,8008.2,12454.21,113746.83,29.0018557,77.7679671
FARM0039,MEE03,Meerut,Uttar Pradesh,Treatment,YES,YES,52,1.52,3.76,Gram,YES,NO,16.9,49100,7.9,819,24.6,Before,Canal,Canal,NO,NO,103.17,4.87,6995.74,13664.19,101033.49,29.0018557,77.7679671
FARM0040,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,57,3.53,8.72,Wheat,NO,NO,16.9,29100,8.0,849,24.5,After,Rainfed,Rainfed,YES,NO,102.7,5.62,17803.17,35853.57,249873.4,28.7166767,77.890433
FARM0040,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,57,3.53,8.72,Wheat,NO,NO,16.9,29100,8.0,849,24.5,Before,Rainfed,Rainfed,NO,NO,101.59,5.74,15175.28,38860.65,210880.11,28.7166767,77.890433
FARM0041,MYS01,Mysuru,Karnataka,Treatment,YES,YES,59,1.7,4.2,Sugarcane,NO,YES,13.7,73500,5.5,850,24.7,After,Canal,Canal,YES,YES,101.01,6.36,8224.81,17656.13,131711.56,12.3041464,76.6529521
FARM0041,MYS01,Mysuru,Karnataka,Treatment,YES,YES,59,1.7,4.2,Sugarcane,NO,YES,13.7,73500,5.5,850,24.7,Before,Canal,Canal,NO,NO,104.44,7.02,7551.06,19612.41,111084.93,12.3041464,76.6529521
FARM0042,MYS04,Mysuru,Karnataka,Treatment,YES,YES,29,2.57,6.35,Sugarcane,NO,YES,28.3,49100,6.8,870,24.5,After,Rainfed,Rainfed,YES,NO,112.91,6.0,11729.86,27818.38,162429.62,12.3041464,76.6529521
FARM0042,MYS04,Mysuru,Karnataka,Treatment,YES,YES,29,2.57,6.35,Sugarcane,NO,YES,28.3,49100,6.8,870,24.5,Before,Rainfed,Rainfed,NO,NO,109.9,6.29,10239.41,30530.59,152564.81,12.3041464,76.6529521
FARM0043,MYS05,Mysuru,Karnataka,Treatment,YES,YES,48,2.72,6.72,Gram,NO,NO,15.1,29200,7.0,852,24.5,After,Canal,Canal,YES,YES,90.7,5.58,14095.31,29423.46,228747.65,12.3041464,76.6529521
FARM0043,MYS05,Mysuru,Karnataka,Treatment,YES,YES,48,2.72,6.72,Gram,NO,NO,15.1,29200,7.0,852,24.5,Before,Canal,Canal,NO,NO,91.67,5.89,12249.99,30341.29,171831.03,12.3041464,76.6529521
FARM0044,HAP02,Hapur,Uttar Pradesh,Treatment,YES,YES,34,2.5,6.18,Maize,YES,YES,15.4,0,7.7,806,24.7,After,Rainfed,Rainfed,YES,NO,101.81,5.13,11642.86,24646.25,163142.41,28.7166767,77.890433
FARM0044,HAP02,Hapur,Uttar Pradesh,Treatment,YES,YES,34,2.5,6.18,Maize,YES,YES,15.4,0,7.7,806,24.7,Before,Rainfed,Rainfed,NO,NO,103.74,5.54,10466.73,26697.78,145076.25,28.7166767,77.890433
FARM0045,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,30,2.78,6.87,Rice,YES,NO,17.5,42400,6.7,778,24.7,After,Canal,Canal,YES,NO,92.92,3.85,14601.83,26392.02,208505.51,28.7733808,77.5033582
FARM0045,MUR04,Muradnagar,Uttar Pradesh,Treatment,YES,YES,30,2.78,6.87,Rice,YES,NO,17.5,42400,6.7,778,24.7,Before,Canal,Canal,NO,NO,95.45,4.18,12651.25,27961.04,181646.07,28.7733808,77.5033582
FARM0046,DHA05,Dharwad,Karnataka,Treatment,YES,YES,37,3.0,7.41,Pulses,NO,YES,10.3,75800,5.5,866,24.5,After,Canal,Canal,YES,NO,104.27,4.44,14895.22,36351.13,210519.01,15.3707296,75.1332867
FARM0046,DHA05,Dharwad,Karnataka,Treatment,YES,YES,37,3.0,7.41,Pulses,NO,YES,10.3,75800,5.5,866,24.5,Before,Canal,Canal,NO,NO,107.34,4.64,13193.63,37217.05,180390.12,15.3707296,75.1332867
FARM0047,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,34,1.11,2.74,Sugarcane,NO,YES,5.6,69800,5.0,801,25.0,After,Well,Well,YES,NO,94.6,6.24,5311.25,12131.99,74103.71,28.7166767,77.890433
FARM0047,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,34,1.11,2.74,Sugarcane,NO,YES,5.6,69800,5.0,801,25.0,Before,Well,Well,NO,NO,93.84,6.87,4719.44,12774.17,69105.99,28.7166767,77.890433
FARM0048,PUN01,Pune,Maharashtra,Treatment,YES,YES,39,1.18,2.92,Wheat,NO,YES,9.8,0,7.2,766,25.2,After,Rainfed,Rainfed,YES,NO,101.44,5.42,5363.03,12618.29,74851.91,18.5213738,73.8545071
FARM0048,PUN01,Pune,Maharashtra,Treatment,YES,YES,39,1.18,2.92,Wheat,NO,YES,9.8,0,7.2,766,25.2,Before,Rainfed,Rainfed,NO,NO,100.81,5.9,5008.03,13549.3,61972.97,18.5213738,73.8545071
FARM0049,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,40,0.96,2.37,Wheat,NO,NO,10.1,38800,6.9,808,24.2,After,Well,Well,YES,NO,88.42,5.68,5243.45,9716.3,74227.72,29.0018557,77.7679671
FARM0049,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,40,0.96,2.37,Wheat,NO,NO,10.1,38800,6.9,808,24.2,Before,Well,Well,NO,NO,92.57,5.93,4607.61,10087.83,68324.39,29.0018557,77.7679671
FARM0050,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,48,1.4,3.46,Maize,NO,NO,8.5,27000,8.4,816,24.2,After,Rainfed,Rainfed,YES,NO,90.98,4.82,6758.64,16326.99,95458.74,28.7166767,77.890433
FARM0050,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,48,1.4,3.46,Maize,NO,NO,8.5,27000,8.4,816,24.2,Before,Rainfed,Rainfed,NO,NO,95.47,5.18,5964.67,16713.39,78885.36,28.7166767,77.890433
FARM0051,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,45,1.91,4.72,Maize,YES,YES,13.9,58100,5.3,759,24.7,After,Well,Well,YES,YES,97.07,4.4,9875.11,19267.92,161249.69,28.7733808,77.5033582
FARM0051,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,45,1.91,4.72,Maize,YES,YES,13.9,58100,5.3,759,24.7,Before,Well,Well,NO,NO,95.37,4.54,8204.71,20383.74,108543.57,28.7733808,77.5033582
FARM0052,MYS01,Mysuru,Karnataka,Treatment,YES,YES,51,2.59,6.4,Wheat,NO,YES,14.7,0,5.3,827,24.7,After,Rainfed,Canal,YES,YES,107.32,4.83,13388.76,27293.84,217364.55,12.3041464,76.6529521
FARM0052,MYS01,Mysuru,Karnataka,Treatment,YES,YES,51,2.59,6.4,Wheat,NO,YES,14.7,0,5.3,827,24.7,Before,Rainfed,Rainfed,NO,NO,109.47,5.24,9826.97,30117.19,137114.29,12.3041464,76.6529521
FARM0053,HAP01,Hapur,Uttar Pradesh,Treatment,YES,YES,55,2.78,6.87,Wheat,YES,YES,10.5,49600,7.8,769,24.9,After,Canal,Canal,YES,YES,94.44,5.13,14543.36,26941.39,236638.95,28.7166767,77.890433
FARM0053,HAP01,Hapur,Uttar Pradesh,Treatment,YES,YES,55,2.78,6.87,Wheat,YES,YES,10.5,49600,7.8,769,24.9,Before,Canal,Canal,NO,NO,93.44,5.66,12883.61,28469.39,181798.6,28.7166767,77.890433
